text,target,category,polarity,_merge
"5 çayının ideal adresi karaköy'de dem. 50'den fazla çay çeşidi ile damak zevkinizi bi yerde yakalayacağı kesin! Benim tavsiyem vanilya aromalı bourban vanilla, tatlı ihtiyacınız içinse damla sakızlı mastika keki. Hizmet, ilgi alaka herşey şahane!",,DRINKS#STYLE_OPTIONS,positive,left_only
"5 çayının ideal adresi karaköy'de dem. 50'den fazla çay çeşidi ile damak zevkinizi bi yerde yakalayacağı kesin! Benim tavsiyem vanilya aromalı bourban vanilla, tatlı ihtiyacınız içinse damla sakızlı mastika keki. Hizmet, ilgi alaka herşey şahane!",,FOOD#QUALITY,positive,left_only
"5 çayının ideal adresi karaköy'de dem. 50'den fazla çay çeşidi ile damak zevkinizi bi yerde yakalayacağı kesin! Benim tavsiyem vanilya aromalı bourban vanilla, tatlı ihtiyacınız içinse damla sakızlı mastika keki. Hizmet, ilgi alaka herşey şahane!",,RESTAURANT#GENERAL,positive,left_only
"5 çayının ideal adresi karaköy'de dem. 50'den fazla çay çeşidi ile damak zevkinizi bi yerde yakalayacağı kesin! Benim tavsiyem vanilya aromalı bourban vanilla, tatlı ihtiyacınız içinse damla sakızlı mastika keki. Hizmet, ilgi alaka herşey şahane!",,SERVICE#GENERAL,positive,left_only
"60 çeşit çay, ruh dinlendirici müzikler, keyifli ortam, hayal kırıklığı yaratan Mizuno Pudding ve farklı da olsa alt tarafı çay içmiştim, bu hesap da ne şimdi dedirten bir hesap :",ortam,AMBIENCE#GENERAL,positive,right_only
"60 çeşit çay, ruh dinlendirici müzikler, keyifli ortam, hayal kırıklığı yaratan Mizuno Pudding ve farklı da olsa alt tarafı çay içmiştim, bu hesap da ne şimdi dedirten bir hesap : ) Evet aynen böyle olmuştu Dem'de... Hem çok keyif almıştım, hem de yok yok bir çay için bu kadar paraya değmez demiştim ve öve öve bitirilmeyen Mizuno Pudding'i beğenmemiştim.",,AMBIENCE#GENERAL,positive,left_only
"60 çeşit çay, ruh dinlendirici müzikler, keyifli ortam, hayal kırıklığı yaratan Mizuno Pudding ve farklı da olsa alt tarafı çay içmiştim, bu hesap da ne şimdi dedirten bir hesap : ) Evet aynen böyle olmuştu Dem'de... Hem çok keyif almıştım, hem de yok yok bir çay için bu kadar paraya değmez demiştim ve öve öve bitirilmeyen Mizuno Pudding'i beğenmemiştim.",,DRINKS#PRICES,negative,left_only
"60 çeşit çay, ruh dinlendirici müzikler, keyifli ortam, hayal kırıklığı yaratan Mizuno Pudding ve farklı da olsa alt tarafı çay içmiştim, bu hesap da ne şimdi dedirten bir hesap : ) Evet aynen böyle olmuştu Dem'de... Hem çok keyif almıştım, hem de yok yok bir çay için bu kadar paraya değmez demiştim ve öve öve bitirilmeyen Mizuno Pudding'i beğenmemiştim.",,DRINKS#STYLE_OPTIONS,positive,left_only
"60 çeşit çay, ruh dinlendirici müzikler, keyifli ortam, hayal kırıklığı yaratan Mizuno Pudding ve farklı da olsa alt tarafı çay içmiştim, bu hesap da ne şimdi dedirten bir hesap : ) Evet aynen böyle olmuştu Dem'de... Hem çok keyif almıştım, hem de yok yok bir çay için bu kadar paraya değmez demiştim ve öve öve bitirilmeyen Mizuno Pudding'i beğenmemiştim.",,FOOD#QUALITY,negative,left_only
"60 çeşit çay, ruh dinlendirici müzikler, keyifli ortam, hayal kırıklığı yaratan Mizuno Pudding ve farklı da olsa alt tarafı çay içmiştim, bu hesap da ne şimdi dedirten bir hesap : ) Evet aynen böyle olmuştu Dem'de... Hem çok keyif almıştım, hem de yok yok bir çay için bu kadar paraya değmez demiştim ve öve öve bitirilmeyen Mizuno Pudding'i beğenmemiştim.",,RESTAURANT#GENERAL,positive,left_only
Abartildigini düsünüyorum. Getirilen patates kizartmasi için kullanilan yag kaçinci kere kullanilmissa üzerinde siyahlasmis yag kalintilari vardi ve patatesler birakin çitir olmayi hamur gibiydi. Domates/salatalik sögüs beklemekten pörsümüstü. Etrafta kaotik bir hareketlilik yasanmasi yediginizden keyif almanizi zorlastiriyor. Üzerine ortalama bir döner olunca ben tekrar gidecegimi sanmam.,,AMBIENCE#GENERAL,negative,left_only
Abartildigini düsünüyorum. Getirilen patates kizartmasi için kullanilan yag kaçinci kere kullanilmissa üzerinde siyahlasmis yag kalintilari vardi ve patatesler birakin çitir olmayi hamur gibiydi. Domates/salatalik sögüs beklemekten pörsümüstü. Etrafta kaotik bir hareketlilik yasanmasi yediginizden keyif almanizi zorlastiriyor. Üzerine ortalama bir döner olunca ben tekrar gidecegimi sanmam.,,FOOD#QUALITY,negative,left_only
Abartildigini düsünüyorum. Getirilen patates kizartmasi için kullanilan yag kaçinci kere kullanilmissa üzerinde siyahlasmis yag kalintilari vardi ve patatesler birakin çitir olmayi hamur gibiydi. Domates/salatalik sögüs beklemekten pörsümüstü. Etrafta kaotik bir hareketlilik yasanmasi yediginizden keyif almanizi zorlastiriyor. Üzerine ortalama bir döner olunca ben tekrar gidecegimi sanmam.,,FOOD#STYLE_OPTIONS,negative,left_only
Abartildigini düsünüyorum. Getirilen patates kizartmasi için kullanilan yag kaçinci kere kullanilmissa üzerinde siyahlasmis yag kalintilari vardi ve patatesler birakin çitir olmayi hamur gibiydi. Domates/salatalik sögüs beklemekten pörsümüstü. Etrafta kaotik bir hareketlilik yasanmasi yediginizden keyif almanizi zorlastiriyor. Üzerine ortalama bir döner olunca ben tekrar gidecegimi sanmam.,,RESTAURANT#GENERAL,negative,left_only
"Aci sevmeyenlere uygun bir mekan degil. Manzara muhtesem,ortam güzel ama bir karisik köfte tabagi acili köfteyle geliyorsa,fajita da aciysa bana uygun degil.",,AMBIENCE#GENERAL,positive,left_only
"Aci sevmeyenlere uygun bir mekan degil. Manzara muhtesem,ortam güzel ama bir karisik köfte tabagi acili köfteyle geliyorsa,fajita da aciysa bana uygun degil.",,FOOD#QUALITY,negative,left_only
"Aci sevmeyenlere uygun bir mekan degil. Manzara muhtesem,ortam güzel ama bir karisik köfte tabagi acili köfteyle geliyorsa,fajita da aciysa bana uygun degil.",,RESTAURANT#GENERAL,neutral,left_only
"Acik kasarli pide. besiktas barbarosta bulunan sampi sabaha kadar acik,gece cani cekenler icin ideal ve paket servisi de var,kapali kasarlisi da cok lezzetli oluyor",,FOOD#QUALITY,positive,left_only
Acildigindan beri ara sira gidiyordum. Ickiyi yasakladiklari icin (kendi tabirleriyle %15 musteriden biri old. icin) artik gitmiyorum. Yasaklatanlara hayirli olsun!,,RESTAURANT#GENERAL,negative,left_only
Adi her ne kadar pizzaci olsa da ne yazik ki pizzalar ortalama. Neden bu kadar popüler oldugunu anlamiyorum. Hatta bazi pizzalarda dominosun benzerleri tercih edilebilir.,,FOOD#QUALITY,neutral,left_only
Adi her ne kadar pizzaci olsa da ne yazik ki pizzalar ortalama. Neden bu kadar popüler oldugunu anlamiyorum. Hatta bazi pizzalarda dominosun benzerleri tercih edilebilir.,,RESTAURANT#GENERAL,negative,left_only
"Adı üzerinde ""menemeni"" ile ünlü, sıcak, samimi, esnaf restoranı. Menemeni leziz, balı enfes ama çayı için olumlu bir yorum yapamayacağım. Karşısında da lokantası bulunuyor ama ben size derim ki gidin menemen ve bal kaymakla güzel bir kahvaltı yapın. Fiyatlar da gayet uygun, ortalamanın altında.",,AMBIENCE#GENERAL,positive,left_only
"Adı üzerinde ""menemeni"" ile ünlü, sıcak, samimi, esnaf restoranı. Menemeni leziz, balı enfes ama çayı için olumlu bir yorum yapamayacağım. Karşısında da lokantası bulunuyor ama ben size derim ki gidin menemen ve bal kaymakla güzel bir kahvaltı yapın. Fiyatlar da gayet uygun, ortalamanın altında.",,DRINKS#QUALITY,negative,left_only
"Adı üzerinde ""menemeni"" ile ünlü, sıcak, samimi, esnaf restoranı. Menemeni leziz, balı enfes ama çayı için olumlu bir yorum yapamayacağım. Karşısında da lokantası bulunuyor ama ben size derim ki gidin menemen ve bal kaymakla güzel bir kahvaltı yapın. Fiyatlar da gayet uygun, ortalamanın altında.",,FOOD#QUALITY,positive,left_only
"Adı üzerinde ""menemeni"" ile ünlü, sıcak, samimi, esnaf restoranı. Menemeni leziz, balı enfes ama çayı için olumlu bir yorum yapamayacağım. Karşısında da lokantası bulunuyor ama ben size derim ki gidin menemen ve bal kaymakla güzel bir kahvaltı yapın. Fiyatlar da gayet uygun, ortalamanın altında.",,RESTAURANT#PRICES,positive,left_only
"Alkol çeşitliliği, yemekleri, dekorasyonu, barmeni, müşteri profili olarak benim için Kadıköy'dekl en iyi mekandır.",dekorasyonu,AMBIENCE#GENERAL,positive,right_only
"Alkollü içki almadiginiz bir restda adam basi 80/90 tl hesap cookk fazla ,üstelik gayet az yedik . Lezzet iyi ama fiyatla orantili degil ,Porsiyonlar az,personel iyi .",,FOOD#PRICES,negative,left_only
"Alkollü içki almadiginiz bir restda adam basi 80/90 tl hesap cookk fazla ,üstelik gayet az yedik . Lezzet iyi ama fiyatla orantili degil ,Porsiyonlar az,personel iyi .",,FOOD#QUALITY,positive,left_only
"Alkollü içki almadiginiz bir restda adam basi 80/90 tl hesap cookk fazla ,üstelik gayet az yedik . Lezzet iyi ama fiyatla orantili degil ,Porsiyonlar az,personel iyi .",,FOOD#STYLE_OPTIONS,negative,left_only
"Alkollü içki almadiginiz bir restda adam basi 80/90 tl hesap cookk fazla ,üstelik gayet az yedik . Lezzet iyi ama fiyatla orantili degil ,Porsiyonlar az,personel iyi .",,RESTAURANT#PRICES,negative,left_only
"Alkollü içki almadiginiz bir restda adam basi 80/90 tl hesap cookk fazla ,üstelik gayet az yedik . Lezzet iyi ama fiyatla orantili degil ,Porsiyonlar az,personel iyi .",,SERVICE#GENERAL,positive,left_only
Anadolu Yakasi'nda kebap yenebilecek en iyi ve en nezih yerlerden birisi. Yemekleri ve ozellikle ara sicaklari cok lezzetli. Servis cok hizli. Calisanlar guleryuzlu.,,AMBIENCE#GENERAL,positive,left_only
Anadolu Yakasi'nda kebap yenebilecek en iyi ve en nezih yerlerden birisi. Yemekleri ve ozellikle ara sicaklari cok lezzetli. Servis cok hizli. Calisanlar guleryuzlu.,,FOOD#QUALITY,positive,left_only
Anadolu Yakasi'nda kebap yenebilecek en iyi ve en nezih yerlerden birisi. Yemekleri ve ozellikle ara sicaklari cok lezzetli. Servis cok hizli. Calisanlar guleryuzlu.,,SERVICE#GENERAL,positive,left_only
"Ansiklopedi kalinliginda menuyu getirip siparisinizi vermek istediginizde o yok, bu uok,su kalmadi seklinde ifadelerle birturlu istediginiz tatliyi yiyemediginiz mekan isletmecisine konuyu ilettiginizde yapacak birseyleri olmadigini buyuk rahatlikla dile getiren , garsonlarinin sattiklari urunden haberdar olmayip isteklerinizi yerine gec veya yanlis getirmeleride cabasi.",garsonlarinin,SERVICE#GENERAL,negative,right_only
"Ansiklopedi kalinliginda menuyu getirip siparisinizi vermek istediginizde o yok, bu uok,su kalmadi seklinde ifadelerle birturlu istediginiz tatliyi yiyemediginiz mekan isletmecisine konuyu ilettiginizde yapacak birseyleri olmadigini buyuk rahatlikla dile getiren , garsonlarinin sattiklari urunden haberdar olmayip isteklerinizi yerine gec veya yanlis getirmeleride cabasi. Kesinlikle tavsiye etmiyorum.",,FOOD#STYLE_OPTIONS,negative,left_only
"Ansiklopedi kalinliginda menuyu getirip siparisinizi vermek istediginizde o yok, bu uok,su kalmadi seklinde ifadelerle birturlu istediginiz tatliyi yiyemediginiz mekan isletmecisine konuyu ilettiginizde yapacak birseyleri olmadigini buyuk rahatlikla dile getiren , garsonlarinin sattiklari urunden haberdar olmayip isteklerinizi yerine gec veya yanlis getirmeleride cabasi. Kesinlikle tavsiye etmiyorum.",,RESTAURANT#GENERAL,negative,left_only
"Ansiklopedi kalinliginda menuyu getirip siparisinizi vermek istediginizde o yok, bu uok,su kalmadi seklinde ifadelerle birturlu istediginiz tatliyi yiyemediginiz mekan isletmecisine konuyu ilettiginizde yapacak birseyleri olmadigini buyuk rahatlikla dile getiren , garsonlarinin sattiklari urunden haberdar olmayip isteklerinizi yerine gec veya yanlis getirmeleride cabasi. Kesinlikle tavsiye etmiyorum.",,SERVICE#GENERAL,negative,left_only
Arka bahçesi tüm yorgunluğunu alıyor insanın. Koşuyolunun en iyilerinden kirpi en çok diyet yapanların sevdiği bir mekan çünkü menüsü sağlıklı beslenmeye uygun.,,AMBIENCE#GENERAL,positive,left_only
Arka bahçesi tüm yorgunluğunu alıyor insanın. Koşuyolunun en iyilerinden kirpi en çok diyet yapanların sevdiği bir mekan çünkü menüsü sağlıklı beslenmeye uygun.,,FOOD#STYLE_OPTIONS,positive,left_only
Arka bahçesi tüm yorgunluğunu alıyor insanın. Koşuyolunun en iyilerinden kirpi en çok diyet yapanların sevdiği bir mekan çünkü menüsü sağlıklı beslenmeye uygun.,,RESTAURANT#GENERAL,positive,left_only
"Arkadaşım aşkı memnu söyledi,ben de cheescake söyledim.",aşkı memnu,FOOD#QUALITY,neutral,right_only
Aslında doymuştuk ama gözümüzün açlığından patatesli mantısını da denedik gayet iyiydi ama ekstra bir özelliği yoktu. İçerisi biraz yemek kokuyordu ve çalışanlarında gereksiz bir negatif enerji vardı. İnşallah sadece o güne özgü bir negatifliktir çünkü Fıccın'ın tadı damağımda yine gitmek gerek. Fiyatlar gayet uygun.,,AMBIENCE#GENERAL,negative,left_only
Aslında doymuştuk ama gözümüzün açlığından patatesli mantısını da denedik gayet iyiydi ama ekstra bir özelliği yoktu. İçerisi biraz yemek kokuyordu ve çalışanlarında gereksiz bir negatif enerji vardı. İnşallah sadece o güne özgü bir negatifliktir çünkü Fıccın'ın tadı damağımda yine gitmek gerek. Fiyatlar gayet uygun.,,FOOD#QUALITY,neutral,left_only
Aslında doymuştuk ama gözümüzün açlığından patatesli mantısını da denedik gayet iyiydi ama ekstra bir özelliği yoktu. İçerisi biraz yemek kokuyordu ve çalışanlarında gereksiz bir negatif enerji vardı. İnşallah sadece o güne özgü bir negatifliktir çünkü Fıccın'ın tadı damağımda yine gitmek gerek. Fiyatlar gayet uygun.,,RESTAURANT#GENERAL,positive,left_only
Aslında doymuştuk ama gözümüzün açlığından patatesli mantısını da denedik gayet iyiydi ama ekstra bir özelliği yoktu. İçerisi biraz yemek kokuyordu ve çalışanlarında gereksiz bir negatif enerji vardı. İnşallah sadece o güne özgü bir negatifliktir çünkü Fıccın'ın tadı damağımda yine gitmek gerek. Fiyatlar gayet uygun.,,RESTAURANT#PRICES,positive,left_only
Aslında doymuştuk ama gözümüzün açlığından patatesli mantısını da denedik gayet iyiydi ama ekstra bir özelliği yoktu. İçerisi biraz yemek kokuyordu ve çalışanlarında gereksiz bir negatif enerji vardı. İnşallah sadece o güne özgü bir negatifliktir çünkü Fıccın'ın tadı damağımda yine gitmek gerek. Fiyatlar gayet uygun.,,SERVICE#GENERAL,negative,left_only
Ayrıca bu mekanın manzarası vs yok çok dar bir mekan . ,mekan,AMBIENCE#GENERAL,negative,left_only
Ayrıca mekanın sahibi içten değil bence laubali .,mekanın sahibi,SERVICE#GENERAL,negative,left_only
Açık ortamda yemek isteyenler için güzel bir ortam. Bahçesinde sakince yemeğinizi yiyebilirsiniz. Kuzu sisleri ve lahmacunlari guzeldi... Serviste aksamalar var. garsonlar sürekli bir şey düşürüyor...,,AMBIENCE#GENERAL,positive,left_only
Açık ortamda yemek isteyenler için güzel bir ortam. Bahçesinde sakince yemeğinizi yiyebilirsiniz. Kuzu sisleri ve lahmacunlari guzeldi... Serviste aksamalar var. garsonlar sürekli bir şey düşürüyor...,,FOOD#QUALITY,positive,left_only
Açık ortamda yemek isteyenler için güzel bir ortam. Bahçesinde sakince yemeğinizi yiyebilirsiniz. Kuzu sisleri ve lahmacunlari guzeldi... Serviste aksamalar var. garsonlar sürekli bir şey düşürüyor...,,SERVICE#GENERAL,negative,left_only
Bahariyede gezerken yemek yemek icin buraya gelebilirsiniz mekan guzel sik menu de cesitli gayet. Fiyatlar da cok pahali degil ortalama duruyordu,,AMBIENCE#GENERAL,positive,left_only
Bahariyede gezerken yemek yemek icin buraya gelebilirsiniz mekan guzel sik menu de cesitli gayet. Fiyatlar da cok pahali degil ortalama duruyordu,,FOOD#STYLE_OPTIONS,positive,left_only
Bahariyede gezerken yemek yemek icin buraya gelebilirsiniz mekan guzel sik menu de cesitli gayet. Fiyatlar da cok pahali degil ortalama duruyordu,,RESTAURANT#PRICES,neutral,left_only
Bahçesi diyorlar da bahçe dediğiniz küçücük alan ve yer bulmak imkansız .,Bahçesi,AMBIENCE#GENERAL,negative,left_only
"Baliklarin yanina Rum ve ermeni mutfagindan mezelerde pek bir yakisiyor. kuskonmaz somon sarma,kagitta balik pastirma kesinlikle denenmeli.",,FOOD#QUALITY,positive,left_only
Balıklarından daha çok kendine has mezeleriyle ön plana çıkmış Alkolsüz bir Balıkçı . mezeleri gerçekten standartların üzerinde mekan neredeyse her gün akşam saatlerinde yoğun oluyor . bunun haricinde çalışanların ilgiside gayet iyi,,FOOD#QUALITY,positive,left_only
Balıklarından daha çok kendine has mezeleriyle ön plana çıkmış Alkolsüz bir Balıkçı . mezeleri gerçekten standartların üzerinde mekan neredeyse her gün akşam saatlerinde yoğun oluyor . bunun haricinde çalışanların ilgiside gayet iyi,,FOOD#STYLE_OPTIONS,positive,left_only
Balıklarından daha çok kendine has mezeleriyle ön plana çıkmış Alkolsüz bir Balıkçı . mezeleri gerçekten standartların üzerinde mekan neredeyse her gün akşam saatlerinde yoğun oluyor . bunun haricinde çalışanların ilgiside gayet iyi,,SERVICE#GENERAL,positive,left_only
Bayıldığım bir yer mekan çok hoş her mezeyi tatmak gerekli evet keşke fiyatlar daha insani boyutta olsa muhteşem olurdu ama ne yapayım o kadar keyif alıyorum ki verdiğimiz para can acıtmıyor sadece daha seyrek gitmemize sebep oluyor ortam yemekler ve müzik herşey harika,ortam,AMBIENCE#GENERAL,positive,right_only
Bayıldığım bir yer mekan çok hoş her mezeyi tatmak gerekli evet keşke fiyatlar daha insani boyutta olsa muhteşem olurdu ama ne yapayım o kadar keyif alıyorum ki verdiğimiz para can acıtmıyor sadece daha seyrek gitmemize sebep oluyor ortam yemekler ve müzik herşey harika,yemekler,FOOD#QUALITY,positive,right_only
"Ben artık happy moons u beğenmiyorum. Servisi iyiydi çalışanları güleryüzlü fakat yemeklerinden eskiden aldığım tadı almıyorum. Ben bi tek çilekli limonatasını beğendim, çok tavsiye etmem",,DRINKS#QUALITY,positive,left_only
"Ben artık happy moons u beğenmiyorum. Servisi iyiydi çalışanları güleryüzlü fakat yemeklerinden eskiden aldığım tadı almıyorum. Ben bi tek çilekli limonatasını beğendim, çok tavsiye etmem",,FOOD#QUALITY,negative,left_only
"Ben artık happy moons u beğenmiyorum. Servisi iyiydi çalışanları güleryüzlü fakat yemeklerinden eskiden aldığım tadı almıyorum. Ben bi tek çilekli limonatasını beğendim, çok tavsiye etmem",,RESTAURANT#GENERAL,negative,left_only
"Ben artık happy moons u beğenmiyorum. Servisi iyiydi çalışanları güleryüzlü fakat yemeklerinden eskiden aldığım tadı almıyorum. Ben bi tek çilekli limonatasını beğendim, çok tavsiye etmem",,SERVICE#GENERAL,positive,left_only
Ben bir patatesli börek hastası olarak hep patatesli gül börek alıyorum. ,patatesli börek,FOOD#QUALITY,positive,left_only
"Bendemi var bir hoşnutsuzluk anlamadım. Bereketli bir mekan hafta içi,cumartesi kuyruk kapıda. Lakin bir kez soğuk gelen çorbayı garsona söylediğimde hiç oralı olmadı. anlaşılan müessesede bir doymuşluk var. Fısıltılara göre Avrupa yakasındada yer arayışları varmış. Bence orada en leziz olan lavaş. lavaş yediriyor gibi. Döneri çok beni sarmadı.",,FOOD#QUALITY,conflict,left_only
"Bendemi var bir hoşnutsuzluk anlamadım. Bereketli bir mekan hafta içi,cumartesi kuyruk kapıda. Lakin bir kez soğuk gelen çorbayı garsona söylediğimde hiç oralı olmadı. anlaşılan müessesede bir doymuşluk var. Fısıltılara göre Avrupa yakasındada yer arayışları varmış. Bence orada en leziz olan lavaş. lavaş yediriyor gibi. Döneri çok beni sarmadı.",,RESTAURANT#GENERAL,negative,left_only
"Bendemi var bir hoşnutsuzluk anlamadım. Bereketli bir mekan hafta içi,cumartesi kuyruk kapıda. Lakin bir kez soğuk gelen çorbayı garsona söylediğimde hiç oralı olmadı. anlaşılan müessesede bir doymuşluk var. Fısıltılara göre Avrupa yakasındada yer arayışları varmış. Bence orada en leziz olan lavaş. lavaş yediriyor gibi. Döneri çok beni sarmadı.",,SERVICE#GENERAL,negative,left_only
"Berbat bir yer,insanlarin sefil oldugu,göcmen burosuna sıra bekleyen biri gibi hissettim,rezalet... asla gitmeyin. paranızla rezil olmak isterseniz buyrun derim.",,RESTAURANT#GENERAL,negative,left_only
"Berbat bir yer,insanlarin sefil oldugu,göcmen burosuna sıra bekleyen biri gibi hissettim,rezalet... asla gitmeyin. paranızla rezil olmak isterseniz buyrun derim.",,SERVICE#GENERAL,negative,left_only
Besiktaki en hakiki pideci diyebilirim. ben bu yuzden tatli yemegi tercih etmedim. fiyatlari 13-17 tl arasi porsiyonlari 1.5 olarak buyutmek de mumkun. puanimdan sirf yavas yuzunden kisiyorum! otobus duraginin hemen karsisinda yeri cok kolay. kucuk ama hep dolu olan bir pideci. porsiyonu tam malzemesi bol hamuru citir citir fakat servis icin ayni hosnutluktan bahsedemicem. servis oldukca yavas. yavas demek bile az kalir. az vaktiniz varsa kesinlikle ogle saatlerinde ugramayiniz. besiktas da yiyebilceniz en iyi pide ama odun atesinde pisenin yerini tutmuyor tabiki. tatli secenekleri de mevcur sufle ve kunefe var menu de var da pide o kadar gec gelince insani tatli siparisi dusunduruyor.,,FOOD#PRICES,neutral,left_only
Besiktaki en hakiki pideci diyebilirim. ben bu yuzden tatli yemegi tercih etmedim. fiyatlari 13-17 tl arasi porsiyonlari 1.5 olarak buyutmek de mumkun. puanimdan sirf yavas yuzunden kisiyorum! otobus duraginin hemen karsisinda yeri cok kolay. kucuk ama hep dolu olan bir pideci. porsiyonu tam malzemesi bol hamuru citir citir fakat servis icin ayni hosnutluktan bahsedemicem. servis oldukca yavas. yavas demek bile az kalir. az vaktiniz varsa kesinlikle ogle saatlerinde ugramayiniz. besiktas da yiyebilceniz en iyi pide ama odun atesinde pisenin yerini tutmuyor tabiki. tatli secenekleri de mevcur sufle ve kunefe var menu de var da pide o kadar gec gelince insani tatli siparisi dusunduruyor.,,FOOD#QUALITY,positive,left_only
Besiktaki en hakiki pideci diyebilirim. ben bu yuzden tatli yemegi tercih etmedim. fiyatlari 13-17 tl arasi porsiyonlari 1.5 olarak buyutmek de mumkun. puanimdan sirf yavas yuzunden kisiyorum! otobus duraginin hemen karsisinda yeri cok kolay. kucuk ama hep dolu olan bir pideci. porsiyonu tam malzemesi bol hamuru citir citir fakat servis icin ayni hosnutluktan bahsedemicem. servis oldukca yavas. yavas demek bile az kalir. az vaktiniz varsa kesinlikle ogle saatlerinde ugramayiniz. besiktas da yiyebilceniz en iyi pide ama odun atesinde pisenin yerini tutmuyor tabiki. tatli secenekleri de mevcur sufle ve kunefe var menu de var da pide o kadar gec gelince insani tatli siparisi dusunduruyor.,,FOOD#STYLE_OPTIONS,positive,left_only
Besiktaki en hakiki pideci diyebilirim. ben bu yuzden tatli yemegi tercih etmedim. fiyatlari 13-17 tl arasi porsiyonlari 1.5 olarak buyutmek de mumkun. puanimdan sirf yavas yuzunden kisiyorum! otobus duraginin hemen karsisinda yeri cok kolay. kucuk ama hep dolu olan bir pideci. porsiyonu tam malzemesi bol hamuru citir citir fakat servis icin ayni hosnutluktan bahsedemicem. servis oldukca yavas. yavas demek bile az kalir. az vaktiniz varsa kesinlikle ogle saatlerinde ugramayiniz. besiktas da yiyebilceniz en iyi pide ama odun atesinde pisenin yerini tutmuyor tabiki. tatli secenekleri de mevcur sufle ve kunefe var menu de var da pide o kadar gec gelince insani tatli siparisi dusunduruyor.,,LOCATION#GENERAL,positive,left_only
Besiktaki en hakiki pideci diyebilirim. ben bu yuzden tatli yemegi tercih etmedim. fiyatlari 13-17 tl arasi porsiyonlari 1.5 olarak buyutmek de mumkun. puanimdan sirf yavas yuzunden kisiyorum! otobus duraginin hemen karsisinda yeri cok kolay. kucuk ama hep dolu olan bir pideci. porsiyonu tam malzemesi bol hamuru citir citir fakat servis icin ayni hosnutluktan bahsedemicem. servis oldukca yavas. yavas demek bile az kalir. az vaktiniz varsa kesinlikle ogle saatlerinde ugramayiniz. besiktas da yiyebilceniz en iyi pide ama odun atesinde pisenin yerini tutmuyor tabiki. tatli secenekleri de mevcur sufle ve kunefe var menu de var da pide o kadar gec gelince insani tatli siparisi dusunduruyor.,,RESTAURANT#GENERAL,positive,left_only
