text,target,category,polarity
"Pilavı da çok lezzetli, mis gibi tereyağ kokuyor.",Pilavı,FOOD#QUALITY,positive
"Pilavı da çok lezzetli, mis gibi tereyağ kokuyor.",kokuyor,FOOD#QUALITY,positive
Finali sütlaçla yapmanızı tavsiye ediyorum.,sütlaçla,FOOD#QUALITY,positive
Sütlacı da enfes.,Sütlacı,FOOD#QUALITY,positive
"Hard Rock Cafe'de hiç sıra beklemeden oturmaya alışık değiliz ki biz, Avrupa veya Amerika'dakilerle aynı duyguyu vermiyor bu sebeple ama lezzet tabii yine aynı.",lezzet,FOOD#QUALITY,positive
"Hard Rock Cafe'de hiç sıra beklemeden oturmaya alışık değiliz ki biz, Avrupa veya Amerika'dakilerle aynı duyguyu vermiyor bu sebeple ama lezzet tabii yine aynı.",sıra,SERVICE#GENERAL,neutral
Atıştırmalık Jumbo Combo pek yummy!,Atıştırmalık Jumbo Combo,FOOD#QUALITY,positive
Deniz ürünleri çok başarılı.,Deniz ürünleri,FOOD#QUALITY,positive
Manzarası zaten mükemmel.,Manzarası,AMBIENCE#GENERAL,positive
"Bütün istanbul'un güzelliğini, yoğunluğunu hissediyorsun.",hissediyorsun,AMBIENCE#GENERAL,positive
Onun dışında pek öğrenci mekanı değil.,öğrenci mekanı,AMBIENCE#GENERAL,neutral
"Özel günlerde gidilecek, küçük kutlamalar yapılacak bir yer",yer,AMBIENCE#GENERAL,neutral
"Rahatça sohbet edebilmek istiyorsanız, orta mükemmel.",sohbet edebilmek,AMBIENCE#GENERAL,positive
"Çalan müzik tam kıvamında, rahatsız etmiyor.",Çalan müzik,AMBIENCE#GENERAL,positive
"Yemekleri çok lezzetli, manzara mükemmel.",manzara,AMBIENCE#GENERAL,positive
"Yemekleri çok lezzetli, manzara mükemmel.",Yemekleri,FOOD#QUALITY,positive
"ancak hesap biraz abartılı geliyor, balık yemeden kişi başı 100 liradan fazla ödedik, itiraz etmek gerekir.",hesap,FOOD#PRICES,negative
Kalabalik zamanlarda servis fazlasiyla aksiyor.,servis,SERVICE#GENERAL,negative
"Bosken soylemis oldugum makarna ne kadar hizli geldiyse, mekanin dolmasiyla arkadasimin soylemis oldugu siparis unutuldu, defalarca hatirlatma yapmamiz gerekti.",siparis,SERVICE#GENERAL,negative
Ayrica masalarin fazla ic ice olmasi zaman zaman rahatsiz olmaniza neden olabiliyor,masalarin,AMBIENCE#GENERAL,negative
"Kış aylarında içerideki sıcak ve loş ışıklı ortamında güzel yemekler yiyebilir, yazın da dışarıda o harika çilekli magnoliasından tadabilirsiniz.",ortamında,AMBIENCE#GENERAL,positive
"Kış aylarında içerideki sıcak ve loş ışıklı ortamında güzel yemekler yiyebilir, yazın da dışarıda o harika çilekli magnoliasından tadabilirsiniz.",yemekler,FOOD#QUALITY,positive
"Kış aylarında içerideki sıcak ve loş ışıklı ortamında güzel yemekler yiyebilir, yazın da dışarıda o harika çilekli magnoliasından tadabilirsiniz.",çilekli magnoliasından,FOOD#QUALITY,positive
İçinizi serinletecek enfes bir tat.,tat,FOOD#QUALITY,positive
Garsonlar suratsiz.,Garsonlar,SERVICE#GENERAL,negative
Bu kadar methedilmeyi hakketmiyor.,NULL,RESTAURANT#GENERAL,negative
Kasarli köftenin içinde kasar olmayan ve köfte ustasi geçinen bir yer!,Kasarli köftenin,FOOD#STYLE_OPTIONS,negative
Kasarli köftenin içinde kasar olmayan ve köfte ustasi geçinen bir yer!,yer,RESTAURANT#GENERAL,negative
Isletme sahibi kaba.,Isletme sahibi,SERVICE#GENERAL,negative
Bizim kasarli köfte tanimimiz böyle diyor sadece!,kasarli köfte,FOOD#STYLE_OPTIONS,negative
Müsteri memnuniyeti sifir!,Müsteri memnuniyeti,RESTAURANT#GENERAL,negative
"Yılların Sampi'si, canım pide istediğimde eve sipariş için tercih ettiğim yerlerdendir.",pide,FOOD#QUALITY,positive
O zaman keşke başlangıçlarda menüde yer almasa!,menüde,FOOD#STYLE_OPTIONS,negative
Beşiktaş'ta tam otobüs duraklarının arkasında olmasından dolayı ulaşımı çok kolay ve fiyatları elbette çok makul.,fiyatları,RESTAURANT#GENERAL,positive
Beşiktaş'ta tam otobüs duraklarının arkasında olmasından dolayı ulaşımı çok kolay ve fiyatları elbette çok makul.,ulaşımı,LOCATION#GENERAL,positive
"Ben çıtır pide sevenlerdenim, dolayısıyla siparişi verirken özellikle rica ettim ve gerçekten de çitir çitir pide geldi.",pide,FOOD#STYLE_OPTIONS,positive
Ancak maalesef birlikte gittiğim arkadaşlarım hiç sevmezmiş çıtır pideyi ve tabii ki onların ki de çıtır geldi.,pideyi,FOOD#STYLE_OPTIONS,negative
Neyse tadı paket servisten elbette çok daha iyidi neticede beklemeden yeme imkanınız var.,tadı,FOOD#QUALITY,positive
"Malzemesi bol, porsiyonu tam kıvamındaydı.",Malzemesi,FOOD#STYLE_OPTIONS,positive
"Malzemesi bol, porsiyonu tam kıvamındaydı.",porsiyonu,FOOD#STYLE_OPTIONS,positive
Beşiktaş'ın göbeğinde.,Beşiktaş'ın göbeğinde,LOCATION#GENERAL,positive
Ve deneyim maalesef çok da olumlu olmadı.,deneyim,RESTAURANT#GENERAL,negative
"Pide lezzeti lafım yok, ama sipariş verirken bir arkadaşımızın kenarlarını çıtır çıtır istemesini yanlış anlamış olacak ki, tüm siparişleri çıtır çıtır getirdi.",Pide lezzeti,FOOD#QUALITY,positive
"Pide lezzeti lafım yok, ama sipariş verirken bir arkadaşımızın kenarlarını çıtır çıtır istemesini yanlış anlamış olacak ki, tüm siparişleri çıtır çıtır getirdi.",siparişleri,SERVICE#GENERAL,negative
"Sevmediğimden yiyemedim kenarlarını, ama ortası pek lezizdi.",ortası,FOOD#QUALITY,positive
"Sevmediğimden yiyemedim kenarlarını, ama ortası pek lezizdi.",kenarlarını,FOOD#STYLE_OPTIONS,negative
"Başlangıç için menüde başlangıçlarda yer alan lahmacunun, ana yiyecek pideden daha geç gelecek olması ise ayrı bi durumdu tabii.",gelecek,SERVICE#GENERAL,negative
"Yemek yemek için çok fazla vaktiniz yoksa, bütçeyi çok sarsmayalım, çok keyifli yemek yemesek de olur yeter ki karnımız doysun diye düşünenler için Çarşı'nın göbeğinde Sampi gayet ideal.",Yemek,FOOD#QUALITY,negative
"Yemek yemek için çok fazla vaktiniz yoksa, bütçeyi çok sarsmayalım, çok keyifli yemek yemesek de olur yeter ki karnımız doysun diye düşünenler için Çarşı'nın göbeğinde Sampi gayet ideal.",bütçeyi,RESTAURANT#PRICES,positive
"4 sicak iceceklerde servis agir, kahvalti icin tercih edilwbilir olsa da lezzete gore fiyat yuksek kaliyor.",kahvalti,FOOD#QUALITY,positive
"4 sicak iceceklerde servis agir, kahvalti icin tercih edilwbilir olsa da lezzete gore fiyat yuksek kaliyor.",fiyat,FOOD#PRICES,negative
"4 sicak iceceklerde servis agir, kahvalti icin tercih edilwbilir olsa da lezzete gore fiyat yuksek kaliyor.",servis,SERVICE#GENERAL,negative
Mutlaka bir hafta önceden rezarvasyon yaptırın iyi bir rum meyhanesi yemekleri başarılı olduğu gibi şahane bir manzarası var bu mekanın en büyük olayı sürekli ikram yapmalarıdır pahalı olmasına rağmen hak ediyor.,yemekleri,FOOD#QUALITY,positive
Mutlaka bir hafta önceden rezarvasyon yaptırın iyi bir rum meyhanesi yemekleri başarılı olduğu gibi şahane bir manzarası var bu mekanın en büyük olayı sürekli ikram yapmalarıdır pahalı olmasına rağmen hak ediyor.,ikram,FOOD#STYLE_OPTIONS,positive
Mutlaka bir hafta önceden rezarvasyon yaptırın iyi bir rum meyhanesi yemekleri başarılı olduğu gibi şahane bir manzarası var bu mekanın en büyük olayı sürekli ikram yapmalarıdır pahalı olmasına rağmen hak ediyor.,manzarası,AMBIENCE#GENERAL,positive
Mutlaka ızgara mantar ve istakoz kavurma deneyin gittiğim ve hiçbir zaman pişman olmadığım ender yerlerden biridir,yerlerden,RESTAURANT#GENERAL,positive
Mutlaka ızgara mantar ve istakoz kavurma deneyin gittiğim ve hiçbir zaman pişman olmadığım ender yerlerden biridir,istakoz kavurma,FOOD#QUALITY,positive
Mutlaka ızgara mantar ve istakoz kavurma deneyin gittiğim ve hiçbir zaman pişman olmadığım ender yerlerden biridir,ızgara mantar,FOOD#QUALITY,positive
Baliklarin yanina Rum ve ermeni mutfagindan mezelerde pek bir yakisiyor.,mezelerde,FOOD#QUALITY,positive
"kuskonmaz somon sarma,kagitta balik pastirma kesinlikle denenmeli.",kagitta balik pastirma,FOOD#QUALITY,positive
"kuskonmaz somon sarma,kagitta balik pastirma kesinlikle denenmeli.",kuskonmaz somon sarma,FOOD#QUALITY,positive
Burada caylar harika!,caylar,DRINKS#QUALITY,positive
Vanilla ve portakal aromasina doyamayacaginiz harika bir lezzet olmus.,lezzet,FOOD#QUALITY,positive
Ortam muhabbet edebilmek icin gayet guzel fakat manzara beklentiniz var ise baska yeri tercih etmelisiniz.,manzara,AMBIENCE#GENERAL,negative
Ortam muhabbet edebilmek icin gayet guzel fakat manzara beklentiniz var ise baska yeri tercih etmelisiniz.,Ortam,AMBIENCE#GENERAL,positive
Tam tamina 60 farkli cesit cay bulabileceginiz bu mekani ziyaret etmelisiniz!,cay,DRINKS#STYLE_OPTIONS,positive
"Hoş bi mekan, severek giderim ve ayrılırken de memnuniyetle ayrılırım her zaman.",mekan,RESTAURANT#GENERAL,positive
"Özellikle akşamları gidilmesini tavsiye ederim, köprünün ve hisarın ışıkları yandığında ayrı bi zevki var.",köprünün ve hisarın ışıkları,AMBIENCE#GENERAL,positive
Hemde canlı müzikle :,canlı müzikle,AMBIENCE#GENERAL,positive
Daha iyisi var.,NULL,RESTAURANT#GENERAL,negative
Buranin doneri dedikleri kadar efsane degil.,doneri,FOOD#QUALITY,negative
"Eti yagli , kokuyor, ince dilinmis ve en kotusu aradan 3 saat gecmesine ragmen migdem bulaniyor.",Eti,FOOD#QUALITY,negative
"Eti yagli , kokuyor, ince dilinmis ve en kotusu aradan 3 saat gecmesine ragmen migdem bulaniyor.",Eti,FOOD#STYLE_OPTIONS,negative
Ortami da begenmedim kalabalik 3. Sinif bir yer.,Ortami,AMBIENCE#GENERAL,negative
Bir daha gitmem,NULL,RESTAURANT#GENERAL,negative
"Eti lezzetli, mekan gösterişli.",mekan,AMBIENCE#GENERAL,positive
"Eti lezzetli, mekan gösterişli.",Eti,FOOD#QUALITY,positive
Ama sunum resmen sıfır.,sunum,SERVICE#GENERAL,negative
30 tl aldığınız hamburger için düz beyaz tabağa koymaktan öteye gidebilirsiniz bence?,tabağa,FOOD#STYLE_OPTIONS,negative
Havuç dilimi ise aşırı yağlı ve şerbetli.,Havuç dilimi,FOOD#QUALITY,negative
Pek yaratıcı özel bir yanı yok.,NULL,RESTAURANT#GENERAL,negative
Pazar günü 14.30'a kadar kahvaltı dışı servis yapmayan Big Chefs!,servis,SERVICE#GENERAL,negative
"Kahvaltı sonrası kahve içmeye gittik, kapıdan döndük ve saat 13.30'du, şaka sandım bir an...",NULL,SERVICE#GENERAL,negative
"Olmadı Big Chefs, zincirsin sen...",Big Chefs,RESTAURANT#GENERAL,negative
Menude yazilmis olmasina ragmen tavuk WRAPimiz patates ile gelmedi nedenini sordugumuz da patatesi kaldirdiklarini menulerini henuz degistirmediklerini soylediler.,tavuk WRAPimiz,FOOD#STYLE_OPTIONS,negative
Gelen tavuk Wrapten 5 dakika sonra biz kofte durum istememize ragmen tavuk sis dürümu geldi durumu soyledik ve degistirdiler.,kofte durum,SERVICE#GENERAL,negative
"Tavuklar kupkuruydu, kofte durum ise siradandi.",kofte durum,FOOD#QUALITY,neutral
"Tavuklar kupkuruydu, kofte durum ise siradandi.",Tavuklar,FOOD#QUALITY,negative
Ikisininde yanindaki yesillikler sus icin konulmus olup yemeye kalktigimizda aci bi tatla karsilastik.,tatla,FOOD#QUALITY,negative
"Zeytinyagli tabagi soyledik icinde fasulye, barbunya, biber dolmasi, sarma ve saksuka vardi.",Zeytinyagli tabagi,FOOD#STYLE_OPTIONS,neutral
Tadlari yerindeydi fakat az koymak icin bayagi bi zorlamislar kendilerini.,koymak,FOOD#STYLE_OPTIONS,negative
Tadlari yerindeydi fakat az koymak icin bayagi bi zorlamislar kendilerini.,Tadlari,FOOD#QUALITY,positive
"Fiyatlar normal, servis cok yavaş, tuvaletler ise pis.",servis,SERVICE#GENERAL,negative
"Fiyatlar normal, servis cok yavaş, tuvaletler ise pis.",Fiyatlar,RESTAURANT#PRICES,neutral
"Fiyatlar normal, servis cok yavaş, tuvaletler ise pis.",tuvaletler,AMBIENCE#GENERAL,negative
"güzel olan tek sey manzaraydi, evet çocuk oyun alani var bakimsiz servis elemanlari suratsiz, hele omlet yapan bir bayan var ki benim oturdugum masa dibindeydi gelen herkese bir surat bir tavir ben böyle birsey görmedim .",servis elemanlari,SERVICE#GENERAL,negative
"güzel olan tek sey manzaraydi, evet çocuk oyun alani var bakimsiz servis elemanlari suratsiz, hele omlet yapan bir bayan var ki benim oturdugum masa dibindeydi gelen herkese bir surat bir tavir ben böyle birsey görmedim .",bayan,SERVICE#GENERAL,negative
"güzel olan tek sey manzaraydi, evet çocuk oyun alani var bakimsiz servis elemanlari suratsiz, hele omlet yapan bir bayan var ki benim oturdugum masa dibindeydi gelen herkese bir surat bir tavir ben böyle birsey görmedim .",manzaraydi,AMBIENCE#GENERAL,positive
"açik büfe kahvaltisi evet çesit çoktu ancak sunum beni tatmin etmedi, temizlik hijyen hissi uyandirmadi.",çesit,FOOD#STYLE_OPTIONS,positive
"açik büfe kahvaltisi evet çesit çoktu ancak sunum beni tatmin etmedi, temizlik hijyen hissi uyandirmadi.",sunum,FOOD#STYLE_OPTIONS,negative
Hos mekan - Mekan yaklasik 3-4 aydir var Tuzla'da.,mekan,RESTAURANT#GENERAL,positive
Gidilebilecek iyi yerlerden birisi.,yerlerden,RESTAURANT#GENERAL,positive
Ilk açildigi ay gittigimizde çok memnun kalmistik ama daha sonraki gidislerimizde servisin çok fazla aksadigina ve garsonlarin yogunluk nedeni ile herkes ile ilgilenememesini gözlemledik.,garsonlarin,SERVICE#GENERAL,negative
Ilk açildigi ay gittigimizde çok memnun kalmistik ama daha sonraki gidislerimizde servisin çok fazla aksadigina ve garsonlarin yogunluk nedeni ile herkes ile ilgilenememesini gözlemledik.,servisin,SERVICE#GENERAL,negative
Çok az sayida garson çalisiyor ve bazen mekan dolu olunca yetemiyorlar.,garson,SERVICE#GENERAL,negative
Klasik dondurma spesiyalleri ve tatlililari var.,dondurma spesiyalleri ve tatlililari,FOOD#STYLE_OPTIONS,neutral
"Internetten arastirip gittigim bir yerdi, ancak maalesef beklentilerimi çok karsilamadi.",yerdi,RESTAURANT#GENERAL,negative
Garsonlar istediginiz seyi en az iki kere istemeden maalesef getirmiyorlar.,Garsonlar,SERVICE#GENERAL,negative
Internetteki resimlerinden göründügü kadar güzel degildi.,göründügü,AMBIENCE#GENERAL,negative
Su böregi oldukça lezzetli idi.,Su böregi,FOOD#QUALITY,positive
Çay kötü müydü?,Çay,DRINKS#QUALITY,neutral
"Hayir, çok taze ve lezzetliydi.",NULL,FOOD#QUALITY,positive
Beklentimin üstündeydi.,NULL,RESTAURANT#GENERAL,positive
Her yönüyle ideal - Bizim okula çok yakin oldugu için çok sik gittigimiz bir yerdir ve muhtesemdir zaten manzarasi.,NULL,RESTAURANT#GENERAL,positive
Her yönüyle ideal - Bizim okula çok yakin oldugu için çok sik gittigimiz bir yerdir ve muhtesemdir zaten manzarasi.,manzarasi,AMBIENCE#GENERAL,positive
Yazin daha zevkli oluyor manzaraya karsi oturmasi.,manzaraya,AMBIENCE#GENERAL,positive
Marmara ögrencilerine de indirimli fiyat uygulamasi var.,fiyat,RESTAURANT#PRICES,positive
O yüzden de bizim için avantajli oluyor.,NULL,RESTAURANT#PRICES,positive
"Gözleme yapan teyzeler de var bu yil, kumpir servisine de basladilar.",Gözleme,FOOD#STYLE_OPTIONS,positive
Kuaförü de çok ucuz ve iyi ayrica.,Kuaförü,RESTAURANT#MISCELLANEOUS,positive
Daha ne olsun =),NULL,RESTAURANT#GENERAL,positive
Güzel manzara ancak fiyat performans olarak mutfak yeterli değil.,manzara,AMBIENCE#GENERAL,positive
Güzel manzara ancak fiyat performans olarak mutfak yeterli değil.,mutfak,FOOD#QUALITY,negative
Bu kadar ünlü olmasını reklama bağlıyorum çünkü çok daha iyi deniz ürünlerini daha uygun fiyatlarla yiyebileceğiniz bir sürü yer var İstanbul'da.,fiyatlarla,FOOD#PRICES,negative
Bu kadar ünlü olmasını reklama bağlıyorum çünkü çok daha iyi deniz ürünlerini daha uygun fiyatlarla yiyebileceğiniz bir sürü yer var İstanbul'da.,deniz ürünlerini,FOOD#QUALITY,negative
Paranız çoksa deneyin ama şart da değil:,NULL,RESTAURANT#GENERAL,neutral
Döner güzel ok ama giderek daha kalabalik hale hatta sisen restoranda omuz omuza kolunuzu kipirdatamadan feci bir gürültü içinde yemek yemek zorunda kaliyorsunuz.,restoranda,AMBIENCE#GENERAL,negative
Döner güzel ok ama giderek daha kalabalik hale hatta sisen restoranda omuz omuza kolunuzu kipirdatamadan feci bir gürültü içinde yemek yemek zorunda kaliyorsunuz.,Döner,FOOD#QUALITY,positive
"Sicak bir ortam - Yeri iyi olmasa da, zevkli dösenmis, yemekleri sunum ve tat açisindan tatmin edici, renkli bir mekan.",Yeri,LOCATION#GENERAL,negative
"Sicak bir ortam - Yeri iyi olmasa da, zevkli dösenmis, yemekleri sunum ve tat açisindan tatmin edici, renkli bir mekan.",yemekleri,FOOD#STYLE_OPTIONS,positive
"Sicak bir ortam - Yeri iyi olmasa da, zevkli dösenmis, yemekleri sunum ve tat açisindan tatmin edici, renkli bir mekan.",yemekleri,FOOD#QUALITY,positive
"Sicak bir ortam - Yeri iyi olmasa da, zevkli dösenmis, yemekleri sunum ve tat açisindan tatmin edici, renkli bir mekan.",dösenmis,AMBIENCE#GENERAL,positive
"Sicak bir ortam - Yeri iyi olmasa da, zevkli dösenmis, yemekleri sunum ve tat açisindan tatmin edici, renkli bir mekan.",ortam,AMBIENCE#GENERAL,positive
Sira bekleme olayi ise çok kötü...,Sira,SERVICE#GENERAL,negative
Aci sevmeyenlere uygun bir mekan degil.,mekan,RESTAURANT#GENERAL,neutral
"Manzara muhtesem,ortam güzel ama bir karisik köfte tabagi acili köfteyle geliyorsa,fajita da aciysa bana uygun degil.",ortam,AMBIENCE#GENERAL,positive
"Manzara muhtesem,ortam güzel ama bir karisik köfte tabagi acili köfteyle geliyorsa,fajita da aciysa bana uygun degil.",fajita,FOOD#QUALITY,negative
"Manzara muhtesem,ortam güzel ama bir karisik köfte tabagi acili köfteyle geliyorsa,fajita da aciysa bana uygun degil.",karisik köfte tabagi,FOOD#QUALITY,negative
"Manzara muhtesem,ortam güzel ama bir karisik köfte tabagi acili köfteyle geliyorsa,fajita da aciysa bana uygun degil.",Manzara,AMBIENCE#GENERAL,positive
Sadece meze yiyin.,yiyin,FOOD#QUALITY,negative
Sadece meze yiyin.,meze,FOOD#QUALITY,positive
Her hafta gelmeye çalışıyoruz.,NULL,RESTAURANT#GENERAL,positive
"Bütün balıkları değişik soslarla pişirip getiriyorlar, siz dur diyene kadar da mezeler gelmeye devam ediyor.",soslarla,FOOD#STYLE_OPTIONS,positive
Balığın fast food gibi yenildiği yer.,Balığın,FOOD#STYLE_OPTIONS,neutral
Yavaş yavaş balık keyfi yapmak isterseniz önermem.,balık,FOOD#STYLE_OPTIONS,negative
Servisi çok hızlı.,hızlı,SERVICE#GENERAL,positive
Mısır ekmeği de sıcacık bayılıyorum.,Mısır ekmeği,FOOD#QUALITY,positive
"60 çeşit çay, ruh dinlendirici müzikler, keyifli ortam, hayal kırıklığı yaratan Mizuno Pudding ve farklı da olsa alt tarafı çay içmiştim, bu hesap da ne şimdi dedirten bir hesap :",müzikler,AMBIENCE#GENERAL,positive
"60 çeşit çay, ruh dinlendirici müzikler, keyifli ortam, hayal kırıklığı yaratan Mizuno Pudding ve farklı da olsa alt tarafı çay içmiştim, bu hesap da ne şimdi dedirten bir hesap :",ortam,AMBIENCE#GENERAL,positive
"60 çeşit çay, ruh dinlendirici müzikler, keyifli ortam, hayal kırıklığı yaratan Mizuno Pudding ve farklı da olsa alt tarafı çay içmiştim, bu hesap da ne şimdi dedirten bir hesap :",Mizuno Pudding,FOOD#QUALITY,negative
"60 çeşit çay, ruh dinlendirici müzikler, keyifli ortam, hayal kırıklığı yaratan Mizuno Pudding ve farklı da olsa alt tarafı çay içmiştim, bu hesap da ne şimdi dedirten bir hesap :",çeşit,DRINKS#STYLE_OPTIONS,positive
"60 çeşit çay, ruh dinlendirici müzikler, keyifli ortam, hayal kırıklığı yaratan Mizuno Pudding ve farklı da olsa alt tarafı çay içmiştim, bu hesap da ne şimdi dedirten bir hesap :",hesap,DRINKS#PRICES,negative
"Hem çok keyif almıştım, hem de yok yok bir çay için bu kadar paraya değmez demiştim ve öve öve bitirilmeyen Mizuno Pudding'i beğenmemiştim.",NULL,RESTAURANT#GENERAL,positive
"Hem çok keyif almıştım, hem de yok yok bir çay için bu kadar paraya değmez demiştim ve öve öve bitirilmeyen Mizuno Pudding'i beğenmemiştim.",paraya,DRINKS#PRICES,negative
"Hem çok keyif almıştım, hem de yok yok bir çay için bu kadar paraya değmez demiştim ve öve öve bitirilmeyen Mizuno Pudding'i beğenmemiştim.",Mizuno Pudding'i,FOOD#QUALITY,negative
Neden şimdiye kadar gelmemişim dedim.,NULL,RESTAURANT#GENERAL,positive
Servisten de oldukça memnun kaldık.,Servisten,SERVICE#GENERAL,positive
Biz erken saatte gittik ama akşamları romantik bir yemek için oldukça ideal bir mekan...,mekan,AMBIENCE#GENERAL,positive
Hangi gün hangi saat gidilse kalabalıktan kurtulmak mümkün değil.,kalabalıktan,AMBIENCE#GENERAL,negative
